# Probability of Window [ -0.00, 0.01 ]
# Value       Probability
0.2824        0.0000  
0.3497        0.0000  
0.4170        0.0000  
0.4844        0.0000  
0.5517        0.0001  
0.6190        0.0001  
0.6864        0.0001  
0.7537        0.0003  
0.8210        0.0005  
0.8884        0.0005  
0.9557        0.0013  
1.0230        0.0014  
1.0904        0.0030  
1.1577        0.0038  
1.2250        0.0061  
1.2924        0.0081  
1.3597        0.0112  
1.4270        0.0140  
1.4944        0.0202  
1.5617        0.0258  
1.6290        0.0318  
1.6964        0.0387  
1.7637        0.0469  
1.8310        0.0540  
1.8984        0.0605  
1.9657        0.0666  
2.0331        0.0690  
2.1004        0.0707  
2.1677        0.0703  
2.2351        0.0681  
2.3024        0.0626  
2.3697        0.0561  
2.4371        0.0486  
2.5044        0.0407  
2.5717        0.0330  
2.6391        0.0251  
2.7064        0.0191  
2.7737        0.0151  
2.8411        0.0093  
2.9084        0.0063  
2.9757        0.0044  
3.0431        0.0027  
3.1104        0.0014  
3.1777        0.0013  
3.2451        0.0006  
3.3124        0.0003  
3.3797        0.0001  
3.4471        0.0001  
3.5144        0.0001  
3.5817        0.0000  
#----------------------------------------
# Probability of Window [ 0.01, 0.02 ]
# Value       Probability
0.4691        0.0000  
0.5331        0.0001  
0.5972        0.0001  
0.6612        0.0001  
0.7252        0.0002  
0.7892        0.0002  
0.8533        0.0003  
0.9173        0.0007  
0.9813        0.0010  
1.0453        0.0017  
1.1094        0.0025  
1.1734        0.0039  
1.2374        0.0050  
1.3014        0.0076  
1.3654        0.0101  
1.4295        0.0137  
1.4935        0.0181  
1.5575        0.0229  
1.6215        0.0289  
1.6856        0.0382  
1.7496        0.0409  
1.8136        0.0491  
1.8776        0.0557  
1.9417        0.0615  
2.0057        0.0644  
2.0697        0.0668  
2.1337        0.0661  
2.1978        0.0676  
2.2618        0.0637  
2.3258        0.0568  
2.3898        0.0506  
2.4539        0.0437  
2.5179        0.0383  
2.5819        0.0313  
2.6459        0.0245  
2.7100        0.0184  
2.7740        0.0140  
2.8380        0.0099  
2.9020        0.0074  
2.9660        0.0052  
3.0301        0.0036  
3.0941        0.0021  
3.1581        0.0013  
3.2221        0.0010  
3.2862        0.0004  
3.3502        0.0003  
3.4142        0.0001  
3.4782        0.0000  
3.5423        0.0000  
3.6063        0.0000  
#----------------------------------------
# Probability of Window [ 0.02, 0.03 ]
# Value       Probability
0.3413        0.0000  
0.4048        0.0000  
0.4683        0.0001  
0.5318        0.0001  
0.5953        0.0001  
0.6589        0.0001  
0.7224        0.0002  
0.7859        0.0004  
0.8494        0.0005  
0.9130        0.0009  
0.9765        0.0011  
1.0400        0.0015  
1.1035        0.0025  
1.1670        0.0036  
1.2306        0.0064  
1.2941        0.0087  
1.3576        0.0112  
1.4211        0.0146  
1.4847        0.0198  
1.5482        0.0241  
1.6117        0.0318  
1.6752        0.0366  
1.7387        0.0431  
1.8023        0.0516  
1.8658        0.0566  
1.9293        0.0616  
1.9928        0.0672  
2.0564        0.0688  
2.1199        0.0675  
2.1834        0.0670  
2.2469        0.0605  
2.3104        0.0583  
2.3740        0.0518  
2.4375        0.0425  
2.5010        0.0357  
